City,SaleDate,Price,PricePerSqFt,Acres,Yr,Area,TBr,Bathrooms
CLIVE,07/20/1993,120000,68.1,0.215,1976,1762,4,3
CLIVE,10/31/1994,128500,100.31,0.202,1977,1281,3,3
CLIVE,08/21/1992,111400,63.37,0.23,1976,1758,4,3
CLIVE,12/22/2008,133500,105.12,0.23,1977,1270,3,2
CLIVE,06/01/1992,93000,76.61,0.228,1978,1214,3,3
CLIVE,11/25/2003,144000,118.62,0.228,1978,1214,3,3
CLIVE,06/06/1996,100000,82.37,0.228,1978,1214,3,3
CLIVE,06/04/2002,168500,93.2,0.287,1976,1808,3,3
CLIVE,03/15/2012,167500,94.74,0.215,1976,1768,3,3
CLIVE,04/03/1998,132000,75.09,0.215,1976,1758,4,3
CLIVE,04/27/1990,98000,55.75,0.215,1976,1758,4,3
CLIVE,10/02/1995,124000,70.53,0.215,1976,1758,4,3
CLIVE,02/07/1991,98000,55.75,0.215,1976,1758,4,3
CLIVE,10/30/1991,94300,74.14,0.215,1976,1272,3,3
CLIVE,06/07/1996,117000,91.98,0.215,1976,1272,3,3
CLIVE,07/19/2004,165000,129.72,0.215,1976,1272,3,3
CLIVE,08/27/2013,187500,117.7,0.215,1976,1593,3,2
CLIVE,09/08/1990,88000,75.47,0.215,1977,1166,3,3
CLIVE,09/04/2000,134500,115.35,0.215,1977,1166,3,3
CLIVE,07/16/1994,125000,60.33,0.223,1979,2072,5,3
CLIVE,02/18/2009,161500,95.62,0.22,1978,1689,3,3
CLIVE,07/26/1994,119900,70.99,0.22,1978,1689,3,3
CLIVE,07/04/2004,176000,80.55,0.207,1978,2185,3,3
CLIVE,07/01/1998,140500,70.96,0.263,1978,1980,4,3
CLIVE,05/30/1995,147000,74.24,0.263,1978,1980,4,3
CLIVE,03/23/1994,145000,73.23,0.263,1978,1980,4,3
CLIVE,07/19/2002,179900,90.86,0.263,1978,1980,4,3
CLIVE,10/30/2014,199000,105.74,0.256,1976,1882,4,3
CLIVE,05/21/2014,170000,98.78,0.226,1978,1721,3,3
CLIVE,06/17/1997,138500,80.48,0.226,1978,1721,3,3
CLIVE,03/27/1996,133500,73.84,0.241,1976,1808,3,3
CLIVE,03/14/1991,105500,55.06,0.241,1978,1916,4,3
CLIVE,06/22/2006,234000,108.53,0.241,1978,2156,4,3
CLIVE,09/21/2010,219000,98.83,0.331,1976,2216,4,3
CLIVE,06/26/2013,200000,90.25,0.331,1976,2216,4,3
CLIVE,01/30/2006,155000,77.66,0.331,1976,1996,4,3
CLIVE,03/25/2002,147000,92.05,0.247,1978,1597,3,3
CLIVE,07/14/2005,175500,109.89,0.247,1978,1597,3,3
CLIVE,06/15/2004,174500,112.22,0.201,1978,1555,3,2
CLIVE,04/28/1999,140000,90.03,0.201,1978,1555,3,2
CLIVE,07/19/1996,133000,85.53,0.201,1978,1555,3,2
CLIVE,05/14/2000,146500,73.51,0.201,1977,1993,4,3
CLIVE,11/01/1994,112000,56.2,0.201,1977,1993,3,3
CLIVE,07/02/2011,188070,107.22,0.23,1979,1754,3,2
CLIVE,04/01/2013,126000,71.84,0.23,1979,1754,3,2
CLIVE,04/18/2007,174000,99.2,0.23,1979,1754,3,2
CLIVE,10/28/1992,105000,57.38,0.243,1978,1830,4,3
CLIVE,11/18/1998,121900,92.28,0.258,1978,1321,3,3
CLIVE,07/17/1996,118500,65.61,0.201,1978,1806,3,3
CLIVE,06/18/1990,79000,58.48,0.201,1976,1351,3,3
CLIVE,06/01/1995,109000,80.68,0.201,1976,1351,3,3
CLIVE,11/11/1991,89000,65.88,0.201,1976,1351,3,3
CLIVE,05/29/2001,136000,100.67,0.201,1976,1351,3,3
CLIVE,06/12/1993,104500,80.32,0.201,1976,1301,3,3
CLIVE,06/12/1997,114500,88.01,0.201,1976,1301,3,3
CLIVE,01/22/2003,147000,126.07,0.201,1978,1166,3,3
CLIVE,05/23/1991,109800,53.82,0.201,1978,2040,4,3
CLIVE,07/07/1997,111000,100.36,0.201,1977,1106,3,3
CLIVE,06/09/1999,159900,73.42,0.323,1978,2178,3,3
CLIVE,05/13/2013,217000,99.63,0.323,1978,2178,3,3
CLIVE,10/20/2012,186000,103.33,0.292,1978,1800,3,3
CLIVE,07/14/1998,174000,96.67,0.292,1978,1800,3,3
CLIVE,07/20/1998,141900,78.83,0.292,1978,1800,3,3
CLIVE,07/11/1995,129900,72.17,0.292,1978,1800,3,3
CLIVE,11/19/1992,112000,86.75,0.197,1977,1291,3,3
CLIVE,12/21/2011,127000,98.37,0.201,1977,1291,3,3
CLIVE,07/24/2003,159000,123.16,0.197,1977,1291,3,3
CLIVE,10/27/2006,151000,116.96,0.197,1977,1291,3,3
CLIVE,10/16/2001,152000,114.03,0.201,1976,1333,3,2
CLIVE,05/24/1994,110000,94.42,0.201,1976,1165,3,3
CLIVE,08/12/2005,179000,128.87,0.201,1976,1389,3,3
CLIVE,08/01/2012,181000,130.31,0.201,1976,1389,3,3
CLIVE,05/17/1995,112900,74.67,0.201,1976,1512,3,2
CLIVE,02/21/2001,145000,95.9,0.201,1976,1512,3,2
CLIVE,06/15/2000,158900,74.81,0.201,1976,2124,4,3
CLIVE,03/11/2005,170000,106.52,0.201,1976,1596,3,3
CLIVE,02/23/2000,138900,87.03,0.201,1976,1596,3,3
CLIVE,08/14/1995,123900,81.03,0.201,1976,1529,3,2
CLIVE,05/31/2006,184000,120.34,0.201,1976,1529,3,2
CLIVE,05/30/2006,184000,120.34,0.201,1976,1529,3,2
CLIVE,12/19/2011,182500,119.36,0.201,1976,1529,4,2
CLIVE,05/13/2007,138000,122.99,0.201,1976,1122,3,3
CLIVE,06/24/1991,83000,73.98,0.201,1976,1122,3,3
